ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
24760,JC444356,09/22/2019 09:03:00 PM,121XX S LOOMIS ST,0110,HOMICIDE,FIRST DEGREE MURDER,GARAGE,false,false,0524,005,34,53,01A,1169206,1824001,2019,09/29/2019 03:59:00 PM,41.672564046,-87.65634098,"(41.672564046, -87.65634098)"
24765,JC446929,09/24/2019 06:33:00 PM,000XX E GARFIELD BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0225,002,20,40,01A,1177487,1868439,2019,10/01/2019 04:20:30 PM,41.794325001,-87.624693192,"(41.794325001, -87.624693192)"
24764,JC446934,09/24/2019 06:35:00 PM,002XX N HAMLIN BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1122,011,28,26,01A,1151030,1900684,2019,10/01/2019 04:20:30 PM,41.88336693,-87.72086759,"(41.88336693, -87.72086759)"
24763,JC445987,09/24/2019 02:54:00 AM,000XX E 74TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0323,003,6,69,01A,1178163,1855970,2019,10/01/2019 04:20:30 PM,41.760093457,-87.622592241,"(41.760093457, -87.622592241)"
24766,JC447139,09/24/2019 09:04:00 PM,020XX S HOYNE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1234,012,25,31,01A,1162688,1890194,2019,10/01/2019 04:20:30 PM,41.85434512,-87.678352471,"(41.85434512, -87.678352471)"
24767,JC447345,09/25/2019 12:58:00 AM,113XX S PARNELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,2233,022,34,49,01A,1174667,1829604,2019,10/02/2019 04:23:12 PM,41.687820092,-87.636187615,"(41.687820092, -87.636187615)"
24770,JC442076,09/25/2019 05:33:00 PM,044XX W CONGRESS PKWY,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1131,011,28,26,01A,1146910,1897323,2019,02/14/2020 03:49:26 PM,41.874223643,-87.736082537,"(41.874223643, -87.736082537)"
24768,JC448595,09/25/2019 10:36:00 PM,071XX S PERRY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0731,007,6,69,01A,1176637,1857536,2019,10/02/2019 04:23:12 PM,41.764425201,-87.628137962,"(41.764425201, -87.628137962)"
24771,JC448631,09/26/2019 01:47:00 PM,083XX S KINGSTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0423,004,7,46,01A,1194621,1850193,2019,12/31/2019 03:50:01 PM,41.743851944,-87.562464188,"(41.743851944, -87.562464188)"
24769,JC448717,09/26/2019 01:53:00 AM,070XX S PERRY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0731,007,6,69,01A,1176616,1858308,2019,10/03/2019 04:17:36 PM,41.766544129,-87.628191736,"(41.766544129, -87.628191736)"
24773,JC452082,09/28/2019 04:20:00 PM,007XX N CICERO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1111,011,28,25,01A,1144215,1904692,2019,10/05/2019 04:13:32 PM,41.894496091,-87.745792225,"(41.894496091, -87.745792225)"
24772,JC451382,09/28/2019 03:37:00 AM,071XX S CONSTANCE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0324,003,7,43,01A,1189606,1858081,2019,10/05/2019 04:13:32 PM,41.765619127,-87.580586386,"(41.765619127, -87.580586386)"
24432,JC184723,03/14/2019 02:55:00 AM,100XX S HALSTED ST,0110,HOMICIDE,FIRST DEGREE MURDER,HOTEL,true,false,2232,022,34,73,01A,1172749,1838296,2019,10/08/2019 04:12:30 PM,41.711714647,-87.642954141,"(41.711714647, -87.642954141)"
24774,JC455095,10/01/2019 12:14:00 AM,054XX W MADISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1522,015,29,25,01A,1139771,1899482,2019,10/08/2019 04:20:38 PM,41.880281544,-87.762241303,"(41.880281544, -87.762241303)"
24775,JC456383,10/01/2019 09:45:00 PM,064XX N CAMPBELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,2412,024,50,2,01A,1158484,1942673,2019,10/08/2019 04:20:38 PM,41.998438231,-87.692342962,"(41.998438231, -87.692342962)"
24776,JC456756,10/02/2019 09:15:00 AM,018XX S HAMLIN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1014,010,24,29,01A,1151345,1890735,2019,10/09/2019 04:25:23 PM,41.856059573,-87.719971925,"(41.856059573, -87.719971925)"
24780,JC449748,10/02/2019 02:56:00 PM,030XX S ST LOUIS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1032,010,22,30,01A,1153517,1884183,2019,10/09/2019 04:25:23 PM,41.838037246,-87.712173487,"(41.838037246, -87.712173487)"
24778,JC459278,10/04/2019 12:30:00 AM,058XX S LAFAYETTE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0232,002,20,40,01A,1176978,1866263,2019,10/11/2019 04:04:55 PM,41.78836534,-87.626625255,"(41.78836534, -87.626625255)"
24779,JC459513,10/04/2019 10:13:00 AM,000XX N HAMLIN BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1122,011,28,26,01A,1151064,1899854,2019,11/16/2019 03:45:40 PM,41.881088655,-87.720764494,"(41.881088655, -87.720764494)"
24783,JC461186,10/05/2019 03:48:00 PM,062XX N RIDGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,2413,024,40,2,01A,1163069,1941495,2019,12/06/2019 03:51:45 PM,41.995110343,-87.675509533,"(41.995110343, -87.675509533)"
24781,JC460569,10/05/2019 01:20:00 AM,030XX W 64TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0823,008,17,66,01A,1157052,1862038,2019,10/12/2019 04:05:42 PM,41.777197552,-87.699800846,"(41.777197552, -87.699800846)"
24782,JC460610,10/05/2019 04:44:00 AM,059XX S ABERDEEN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0712,007,16,68,01A,1169999,1865406,2019,10/12/2019 04:05:42 PM,41.786168201,-87.652239441,"(41.786168201, -87.652239441)"
